"species","feeding","motility","tiering","size"
"Claraia aurita","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Claraia clarae","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Claraia griesbachi","suspension","non_motile_byssate","epifaunal_surficial","small"
"Claraia orbicularis","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Claraia stachei","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Eumorphotis multiformis","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Neoschizodus laevigatus","suspension","facultative","shallow_infaunal","medium"
"Neoschizodus orbicularis","suspension","facultative","shallow_infaunal","small"
"Neoschizodus ovatus","suspension","facultative","shallow_infaunal","medium"
"Pteria cf. ussurica","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Towapteria scythica","suspension","non_motile_byssate","epifaunal_surficial","small"
"Unionites canalensis","suspension","facultative","shallow_infaunal","small"
"Unionites fassaensis","suspension","facultative","shallow_infaunal","small"
"Altadema kokeni","grazer_carnivore","slow_moving","epifaunal_surficial","small"
"Coelostylina werfensis","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Warthia vaceki","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Archaeolepidotus leonardii","carnivore","fast_moving","nektonic","medium"
"Ellisonia agordina","carnivore","fast_moving","nektonic","small"
"Ellisonia triassica","carnivore","fast_moving","nektonic","small"
"Hadrodontina anceps","carnivore","fast_moving","nektonic","small"
"Hadrodontina equabilis","carnivore","fast_moving","nektonic","small"
"Hindeodus parvus","carnivore","fast_moving","nektonic","small"
"Hindeodus pisai","carnivore","fast_moving","nektonic","small"
"Hindeodus typicalis","carnivore","fast_moving","nektonic","small"
"Isarcicella inflata","carnivore","fast_moving","nektonic","small"
"Isarcicella isarcica","carnivore","fast_moving","nektonic","small"
"Isarcicella lobata","carnivore","fast_moving","nektonic","small"
"Isarcicella prisca","carnivore","fast_moving","nektonic","small"
"Isarcicella staeschei","carnivore","fast_moving","nektonic","small"
"Isarcicella turgida","carnivore","fast_moving","nektonic","small"
"Xaniognathus gradatus","carnivore","fast_moving","nektonic","small"
"Echinoidea gen et sp. indet","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Eotiaris teseroensis","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Acratia zhongyingensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Cavellina triassica","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Fabalicypris? sp. A","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Kerocythere? sp. 1","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Langdaia bullabalvanyensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Langdaia laolongdongensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Liuzhinia antalyaensis","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Paracypris gaetanii","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Paracypris sp. 1","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Trentingula lorigae","suspension","non_motile_attached","shallow_infaunal","small"
"Trentingula mazzinensis","suspension","non_motile_attached","shallow_infaunal","small"
"""Nodosaria"" expolita","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"""Nodosaria"" skyphica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Charliella? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Cornuspira? mahajeri","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Diplosphaerina inaequalis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Earlandia? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina sp. indet.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Globivalvulina lukachiensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Postcladella kalhori","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
