species,size
Ammonite_1,small
Ammonite_2,medium
Ammonite_3,large
Belemnite_3,gigantic
Belemnite_2,very_large
Belemnite_1,large
Bivalve_1,small
Bivalve_2,medium
Bivalve_3,small
Bivalve_4,medium
Bivalve_5,small
Bivalve_6,tiny
Bivalve_7,medium
Bivalve_8,medium
Bivalve_9,large
Bivalve_10,medium
Bivalve_11,very_large
Bivalve_12,large
Bivalve_13,medium
Bivalve_14,small
Bivalve_15,large
Bivalve_16,medium
Bivalve_17,small
Bivalve_18,tiny
Bivalve_19,large
Bivalve_20,medium
Bivalve_21,small
Bivalve_22,large
Bivalve_23,small
Brachiopod_1,small
Crinoid_1,medium
Crinoid_2,small
Crustacean_1,large
Crustacean_2,medium
Crustacean_3,medium
Crustacean_4,small
Fish_1,large
Gastropod_1,tiny
Gastropod_2,tiny
Gastropod_3,tiny
Ophiuroid_1,medium
Scaphopod_1,small
Serpulid_1,small
Soft_1,medium
Soft_2,small
Soft_3,small
Soft_4,small
BASAL_NODE,primary
Brachiopod_2,small
Bivalve_24,small
Echinoid_1,large
Soft_5,small
Bryozoan_1,tiny
Crustaceon_5,large
Crustaceon_6,small
Crustacean_7,large
Gastropod_4,tiny
Soft_3,medium
